Airline,Duration,Total stops,Price,Date,Source,Destination
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 62,504",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 93,526",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 93,526",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 98,752",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 103,531",2023-06-01,CCJ,DXB
"Air India, Gulf Air",11h 45m,2 stops,"₹ 103,847",2023-06-01,CCJ,DXB
"Etihad Airways, Oman Air",13h 50m,2 stops,"₹ 142,194",2023-06-01,CCJ,DXB
"Etihad Airways, Gulf Air",13h 30m,2 stops,"₹ 142,220",2023-06-01,CCJ,DXB
"Etihad Airways, Gulf Air",14h 30m,2 stops,"₹ 142,220",2023-06-01,CCJ,DXB
Air India,52h 10m,2 stops,"₹ 38,205",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 15,779",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 16,847",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,805",2023-06-01,CCJ,DXB
flydubai,3h 55m,direct,"₹ 35,268",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
Emirates,3h 55m,direct,"₹ 52,570",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 13,049",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 16,692",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 15,779",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 16,847",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,799",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
"Oman Air, flydubai",6h 55m,1 stop,"₹ 29,489",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 13,049",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
